hostname,record_type,resolved_ip,ttl_remaining_sec,authoritative_server
srv-node-328.apexledger.example,A,10.3.114.230,7200,10.0.0.1
portal-web-803.apexledger.example,A,10.15.225.62,300,10.0.0.1
srv-db-114.apexledger.example,A,10.9.50.116,300,10.0.0.1
internal-svc-696.apexledger.example,A,10.10.107.102,1800,1.0.0.1
worker-job-825.apexledger.example,A,10.12.39.186,1800,1.1.1.1
stream-ws-295.apexledger.example,A,10.14.72.225,86400,10.0.0.1
stream-ws-026.apexledger.example,A,10.11.186.119,3600,1.1.1.1
db-shard-913.apexledger.example,A,10.15.59.109,7200,10.0.0.1
internal-svc-408.apexledger.example,A,10.8.215.145,3600,10.0.0.1
service-590.apexledger.example,A,10.7.66.210,300,10.0.0.1
srv-node-735.apexledger.example,A,10.13.240.37,3600,1.1.1.1
srv-node-642.apexledger.example,A,10.14.240.183,7200,1.0.0.1
db-shard-686.apexledger.example,A,10.9.245.207,3600,1.0.0.1
vault-sec-302.apexledger.example,A,10.8.4.9,600,10.0.0.1
metrics-agent-823.apexledger.example,A,10.15.184.236,600,1.0.0.1
internal-svc-478.apexledger.example,A,10.15.222.143,86400,1.1.1.1
stream-ws-325.apexledger.example,A,10.14.50.113,86400,10.0.0.1
kafka-broker-464.apexledger.example,A,10.5.217.216,86400,1.0.0.1
srv-db-665.apexledger.example,A,10.8.255.95,300,1.1.1.1
portal-web-150.apexledger.example,A,10.14.7.24,300,1.0.0.1
srv-db-625.apexledger.example,A,10.6.126.31,7200,1.1.1.1
kafka-broker-685.apexledger.example,A,10.11.79.2,1800,10.0.0.1
internal-svc-707.apexledger.example,A,10.4.114.122,7200,1.1.1.1
stream-ws-087.apexledger.example,A,10.13.81.240,600,10.0.0.1
stream-ws-520.apexledger.example,A,10.13.199.207,600,10.0.0.1
vault-sec-386.apexledger.example,A,10.0.54.100,300,1.1.1.1
worker-job-662.apexledger.example,A,10.11.13.7,7200,1.0.0.1
billing-srv-700.apexledger.example,A,10.9.230.84,300,1.0.0.1
metrics-agent-586.apexledger.example,A,10.5.78.152,7200,1.1.1.1
portal-web-639.apexledger.example,A,10.10.234.154,600,10.0.0.1
srv-db-561.apexledger.example,A,10.12.17.51,86400,1.1.1.1
srv-app-664.apexledger.example,A,10.1.231.223,86400,1.1.1.1
internal-svc-729.apexledger.example,A,10.0.66.166,7200,1.1.1.1
api-gw-165.apexledger.example,A,10.5.199.70,3600,10.0.0.1
portal-web-889.apexledger.example,A,10.2.196.79,600,1.0.0.1
auth-node-270.apexledger.example,A,10.14.254.200,3600,1.0.0.1
metrics-agent-182.apexledger.example,A,10.10.246.114,300,10.0.0.1
kafka-broker-836.apexledger.example,A,10.3.109.60,300,1.1.1.1
metrics-agent-662.apexledger.example,A,10.10.208.140,86400,1.1.1.1
service-361.apexledger.example,A,10.5.180.144,86400,10.0.0.1
vault-sec-113.apexledger.example,A,10.8.109.146,1800,10.0.0.1
kafka-broker-687.apexledger.example,A,10.4.51.201,1800,1.1.1.1
portal-web-176.apexledger.example,A,10.3.30.195,1800,10.0.0.1
auth-node-662.apexledger.example,A,10.3.160.71,7200,1.1.1.1
stream-ws-955.apexledger.example,A,10.10.82.67,1800,1.1.1.1
service-422.apexledger.example,A,10.8.212.248,300,1.1.1.1
srv-node-241.apexledger.example,A,10.0.158.32,300,10.0.0.1
worker-job-323.apexledger.example,A,10.14.19.237,3600,1.0.0.1
vault-sec-609.apexledger.example,A,10.14.218.251,86400,1.1.1.1
worker-job-882.apexledger.example,A,10.8.199.75,1800,1.1.1.1
portal-web-900.apexledger.example,A,10.0.144.178,1800,1.0.0.1
srv-node-305.apexledger.example,A,10.13.163.150,300,10.0.0.1
billing-srv-203.apexledger.example,A,10.1.57.42,7200,1.1.1.1
srv-node-039.apexledger.example,A,10.4.181.153,86400,10.0.0.1
stream-ws-030.apexledger.example,A,10.13.64.92,3600,1.0.0.1
db-shard-246.apexledger.example,A,10.13.112.199,600,1.1.1.1
service-678.apexledger.example,A,10.12.130.202,600,1.1.1.1
service-017.apexledger.example,A,10.8.245.107,1800,1.0.0.1
api-gw-967.apexledger.example,A,10.2.91.142,300,10.0.0.1
kafka-broker-349.apexledger.example,A,10.10.28.169,300,10.0.0.1
cache-redis-482.apexledger.example,A,10.1.113.174,7200,1.1.1.1
db-shard-725.apexledger.example,A,10.11.119.144,1800,1.0.0.1
vault-sec-384.apexledger.example,A,10.11.235.164,3600,10.0.0.1
internal-svc-919.apexledger.example,A,10.9.96.41,86400,1.0.0.1
api-gw-497.apexledger.example,A,10.0.181.209,7200,10.0.0.1
portal-web-815.apexledger.example,A,10.1.88.22,1800,1.0.0.1
kafka-broker-142.apexledger.example,A,10.3.9.137,600,10.0.0.1
stream-ws-587.apexledger.example,A,10.1.201.98,7200,10.0.0.1
auth-node-989.apexledger.example,A,10.3.43.37,86400,1.0.0.1
billing-srv-561.apexledger.example,A,10.8.158.11,86400,10.0.0.1
vault-sec-167.apexledger.example,A,10.9.151.139,1800,1.0.0.1
api-gw-997.apexledger.example,A,10.12.96.250,86400,10.0.0.1
service-868.apexledger.example,A,10.15.216.92,7200,1.1.1.1
service-184.apexledger.example,A,10.10.74.42,300,1.1.1.1
service-863.apexledger.example,A,10.11.32.95,1800,1.1.1.1
api-gw-614.apexledger.example,A,10.7.64.28,1800,1.0.0.1
srv-node-895.apexledger.example,A,10.2.195.68,7200,1.0.0.1
srv-node-357.apexledger.example,A,10.15.255.31,7200,10.0.0.1
cache-redis-849.apexledger.example,A,10.11.233.235,7200,1.0.0.1
srv-db-071.apexledger.example,A,10.2.253.200,1800,1.0.0.1
cache-redis-173.apexledger.example,A,10.10.221.130,7200,1.0.0.1
billing-srv-929.apexledger.example,A,10.15.206.81,600,1.1.1.1
metrics-agent-226.apexledger.example,A,10.11.179.105,7200,1.0.0.1
vault-sec-159.apexledger.example,A,10.14.65.111,1800,1.0.0.1
srv-node-328.apexledger.example,A,10.8.227.68,600,10.0.0.1
kafka-broker-240.apexledger.example,A,10.10.73.144,300,1.0.0.1
stream-ws-589.apexledger.example,A,10.14.205.103,300,10.0.0.1
billing-srv-691.apexledger.example,A,10.13.172.25,86400,1.0.0.1
vault-sec-435.apexledger.example,A,10.11.169.16,3600,10.0.0.1
auth-node-011.apexledger.example,A,10.8.129.34,1800,10.0.0.1
portal-web-853.apexledger.example,A,10.15.247.87,300,1.1.1.1
cache-redis-652.apexledger.example,A,10.3.137.84,300,1.1.1.1
metrics-agent-528.apexledger.example,A,10.8.189.21,7200,10.0.0.1
vault-sec-552.apexledger.example,A,10.0.48.40,1800,1.1.1.1
metrics-agent-212.apexledger.example,A,10.5.158.22,7200,1.0.0.1
api-gw-111.apexledger.example,A,10.0.138.241,3600,1.1.1.1
auth-node-564.apexledger.example,A,10.7.241.169,86400,1.0.0.1
billing-srv-356.apexledger.example,A,10.10.245.66,3600,1.0.0.1
kafka-broker-038.apexledger.example,A,10.15.68.6,3600,1.0.0.1
kafka-broker-857.apexledger.example,A,10.14.101.95,1800,10.0.0.1
db-shard-312.apexledger.example,A,10.6.27.209,3600,1.1.1.1
stream-ws-495.apexledger.example,A,10.2.166.126,1800,10.0.0.1
billing-srv-369.apexledger.example,A,10.5.39.254,7200,1.1.1.1
kafka-broker-988.apexledger.example,A,10.12.54.237,7200,1.1.1.1
service-475.apexledger.example,A,10.7.107.110,7200,10.0.0.1
api-gw-527.apexledger.example,A,10.6.138.199,86400,1.0.0.1
api-gw-573.apexledger.example,A,10.10.186.167,3600,10.0.0.1
vault-sec-156.apexledger.example,A,10.4.73.34,86400,10.0.0.1
srv-app-822.apexledger.example,A,10.1.143.203,1800,1.1.1.1
api-gw-274.apexledger.example,A,10.11.65.118,600,1.1.1.1
srv-app-770.apexledger.example,A,10.5.78.106,86400,10.0.0.1
internal-svc-935.apexledger.example,A,10.0.153.57,7200,1.0.0.1
srv-db-477.apexledger.example,A,10.13.79.231,1800,1.1.1.1
srv-app-483.apexledger.example,A,10.0.29.25,1800,10.0.0.1
kafka-broker-337.apexledger.example,A,10.0.83.129,600,1.1.1.1
portal-web-680.apexledger.example,A,10.13.102.214,600,1.1.1.1
cache-redis-678.apexledger.example,A,10.15.108.96,600,10.0.0.1
portal-web-739.apexledger.example,A,10.13.235.220,1800,10.0.0.1
vault-sec-992.apexledger.example,A,10.9.225.240,7200,10.0.0.1
internal-svc-094.apexledger.example,A,10.6.100.30,300,1.0.0.1
auth-node-118.apexledger.example,A,10.5.104.165,3600,1.1.1.1
portal-web-032.apexledger.example,A,10.4.137.74,86400,1.0.0.1
db-shard-010.apexledger.example,A,10.15.235.228,1800,1.0.0.1
internal-svc-142.apexledger.example,A,10.3.73.144,600,1.0.0.1
metrics-agent-387.apexledger.example,A,10.1.167.194,1800,10.0.0.1
srv-db-473.apexledger.example,A,10.14.177.140,7200,10.0.0.1
srv-node-834.apexledger.example,A,10.8.151.10,300,10.0.0.1
srv-app-072.apexledger.example,A,10.14.55.99,86400,10.0.0.1
metrics-agent-629.apexledger.example,A,10.15.11.40,1800,1.1.1.1
service-108.apexledger.example,A,10.12.47.44,7200,1.0.0.1
service-996.apexledger.example,A,10.1.36.193,7200,10.0.0.1
srv-node-751.apexledger.example,A,10.10.78.79,3600,1.1.1.1
billing-srv-735.apexledger.example,A,10.14.124.103,600,10.0.0.1
billing-srv-429.apexledger.example,A,10.1.250.64,7200,1.1.1.1
metrics-agent-194.apexledger.example,A,10.3.243.152,3600,1.0.0.1
service-511.apexledger.example,A,10.6.196.187,300,10.0.0.1
metrics-agent-804.apexledger.example,A,10.4.150.62,7200,1.0.0.1
kafka-broker-786.apexledger.example,A,10.13.13.91,7200,10.0.0.1
auth-node-977.apexledger.example,A,10.3.188.207,600,10.0.0.1
srv-db-568.apexledger.example,A,10.5.234.104,300,1.1.1.1
portal-web-411.apexledger.example,A,10.0.125.51,300,1.0.0.1
auth-node-538.apexledger.example,A,10.8.191.22,1800,1.1.1.1
srv-app-224.apexledger.example,A,10.3.229.141,86400,1.1.1.1
worker-job-983.apexledger.example,A,10.14.17.245,600,10.0.0.1
internal-svc-049.apexledger.example,A,10.9.46.44,86400,1.1.1.1
kafka-broker-210.apexledger.example,A,10.0.146.159,86400,1.1.1.1
internal-svc-947.apexledger.example,A,10.8.36.227,86400,10.0.0.1
auth-node-561.apexledger.example,A,10.7.253.210,300,10.0.0.1
worker-job-234.apexledger.example,A,10.12.237.23,600,1.1.1.1
service-424.apexledger.example,A,10.12.45.113,86400,10.0.0.1
auth-node-176.apexledger.example,A,10.7.84.144,600,10.0.0.1
billing-srv-410.apexledger.example,A,10.8.86.120,300,1.1.1.1
worker-job-077.apexledger.example,A,10.4.124.211,3600,10.0.0.1
api-gw-704.apexledger.example,A,10.10.89.127,7200,1.1.1.1
api-gw-002.apexledger.example,A,10.12.45.248,86400,1.0.0.1
portal-web-687.apexledger.example,A,10.10.182.22,86400,10.0.0.1
service-666.apexledger.example,A,10.8.121.30,3600,1.1.1.1
stream-ws-609.apexledger.example,A,10.5.157.192,7200,1.1.1.1
service-351.apexledger.example,A,10.5.234.152,300,1.1.1.1
internal-svc-769.apexledger.example,A,10.5.244.29,300,1.1.1.1
service-628.apexledger.example,A,10.9.75.105,1800,1.1.1.1
metrics-agent-624.apexledger.example,A,10.9.77.98,86400,10.0.0.1
service-455.apexledger.example,A,10.3.49.59,1800,1.0.0.1
srv-db-867.apexledger.example,A,10.12.140.113,3600,10.0.0.1
stream-ws-257.apexledger.example,A,10.14.210.121,1800,1.0.0.1
auth-node-105.apexledger.example,A,10.0.104.55,86400,1.0.0.1
db-shard-231.apexledger.example,A,10.10.84.205,300,1.1.1.1
db-shard-132.apexledger.example,A,10.10.202.54,7200,10.0.0.1
stream-ws-934.apexledger.example,A,10.12.134.89,3600,1.1.1.1
auth-node-521.apexledger.example,A,10.9.19.189,7200,1.1.1.1
stream-ws-174.apexledger.example,A,10.13.64.114,3600,10.0.0.1
internal-svc-698.apexledger.example,A,10.1.157.189,300,10.0.0.1
billing-srv-576.apexledger.example,A,10.9.211.58,86400,10.0.0.1
stream-ws-821.apexledger.example,A,10.11.179.193,3600,10.0.0.1
cache-redis-014.apexledger.example,A,10.13.219.100,7200,1.0.0.1
cache-redis-573.apexledger.example,A,10.12.182.222,86400,1.1.1.1
srv-node-242.apexledger.example,A,10.6.89.126,7200,1.0.0.1
internal-svc-834.apexledger.example,A,10.5.222.132,600,1.0.0.1
service-559.apexledger.example,A,10.2.51.30,600,1.0.0.1
srv-node-469.apexledger.example,A,10.11.50.107,600,1.0.0.1
stream-ws-920.apexledger.example,A,10.0.49.228,300,1.0.0.1
api-gw-472.apexledger.example,A,10.13.50.165,300,1.1.1.1
internal-svc-350.apexledger.example,A,10.5.63.23,1800,1.1.1.1
api-gw-455.apexledger.example,A,10.14.50.236,7200,1.0.0.1
api-gw-094.apexledger.example,A,10.0.237.109,300,1.0.0.1
internal-svc-063.apexledger.example,A,10.14.243.90,86400,1.1.1.1
srv-app-418.apexledger.example,A,10.5.219.164,300,1.0.0.1
cache-redis-435.apexledger.example,A,10.3.179.244,600,1.1.1.1
api-gw-617.apexledger.example,A,10.9.132.199,3600,1.1.1.1
cache-redis-374.apexledger.example,A,10.2.210.225,86400,1.1.1.1
kafka-broker-327.apexledger.example,A,10.13.159.60,86400,10.0.0.1
auth-node-541.apexledger.example,A,10.13.129.9,7200,10.0.0.1
kafka-broker-540.apexledger.example,A,10.14.148.106,86400,1.0.0.1
vault-sec-725.apexledger.example,A,10.14.83.92,7200,1.0.0.1
kafka-broker-319.apexledger.example,A,10.3.126.1,600,10.0.0.1
billing-srv-714.apexledger.example,A,10.10.62.170,1800,1.0.0.1
portal-web-627.apexledger.example,A,10.14.192.173,300,1.0.0.1
portal-web-774.apexledger.example,A,10.14.166.146,3600,1.0.0.1
service-779.apexledger.example,A,10.11.197.189,1800,1.0.0.1
internal-svc-011.apexledger.example,A,10.11.211.120,300,10.0.0.1
service-885.apexledger.example,A,10.9.27.30,1800,1.0.0.1
kafka-broker-394.apexledger.example,A,10.9.131.1,600,1.1.1.1
srv-app-080.apexledger.example,A,10.7.90.13,86400,1.0.0.1
metrics-agent-106.apexledger.example,A,10.1.148.33,300,1.0.0.1
cache-redis-120.apexledger.example,A,10.2.53.204,300,10.0.0.1
db-shard-038.apexledger.example,A,10.4.225.249,7200,10.0.0.1
service-775.apexledger.example,A,10.9.209.237,1800,10.0.0.1
metrics-agent-195.apexledger.example,A,10.1.212.80,600,1.0.0.1
auth-node-622.apexledger.example,A,10.12.24.18,3600,10.0.0.1
portal-web-842.apexledger.example,A,10.15.225.163,86400,1.1.1.1
service-295.apexledger.example,A,10.3.65.111,600,1.0.0.1
metrics-agent-537.apexledger.example,A,10.4.105.83,600,10.0.0.1
stream-ws-032.apexledger.example,A,10.3.98.120,3600,1.1.1.1
worker-job-401.apexledger.example,A,10.2.5.94,7200,10.0.0.1
srv-db-284.apexledger.example,A,10.7.99.88,1800,1.1.1.1
stream-ws-552.apexledger.example,A,10.3.37.177,600,1.0.0.1
worker-job-806.apexledger.example,A,10.4.87.39,600,10.0.0.1
kafka-broker-700.apexledger.example,A,10.3.199.65,7200,10.0.0.1
internal-svc-372.apexledger.example,A,10.6.96.195,600,1.0.0.1
internal-svc-067.apexledger.example,A,10.4.146.205,7200,1.1.1.1
worker-job-868.apexledger.example,A,10.7.141.122,86400,1.1.1.1
stream-ws-156.apexledger.example,A,10.8.232.101,86400,1.1.1.1
vault-sec-315.apexledger.example,A,10.3.132.248,86400,1.0.0.1
srv-db-491.apexledger.example,A,10.10.145.77,600,10.0.0.1
srv-app-949.apexledger.example,A,10.2.149.194,3600,1.1.1.1
vault-sec-670.apexledger.example,A,10.6.5.8,1800,1.1.1.1
service-642.apexledger.example,A,10.10.48.65,3600,10.0.0.1
portal-web-700.apexledger.example,A,10.10.112.11,1800,10.0.0.1
internal-svc-959.apexledger.example,A,10.15.219.16,86400,10.0.0.1
billing-srv-895.apexledger.example,A,10.11.103.139,1800,10.0.0.1
worker-job-817.apexledger.example,A,10.12.41.163,86400,1.1.1.1
portal-web-477.apexledger.example,A,10.1.20.121,600,10.0.0.1
internal-svc-414.apexledger.example,A,10.3.182.246,300,1.0.0.1
srv-node-249.apexledger.example,A,10.13.115.166,600,1.0.0.1
vault-sec-472.apexledger.example,A,10.0.62.10,86400,10.0.0.1
internal-svc-360.apexledger.example,A,10.5.201.231,86400,1.1.1.1
vault-sec-719.apexledger.example,A,10.9.91.79,3600,1.0.0.1
portal-web-841.apexledger.example,A,10.13.221.52,300,1.0.0.1
db-shard-870.apexledger.example,A,10.11.110.156,7200,10.0.0.1
internal-svc-269.apexledger.example,A,10.10.122.188,86400,1.0.0.1
srv-db-877.apexledger.example,A,10.6.137.48,300,1.0.0.1
auth-node-226.apexledger.example,A,10.7.158.160,3600,1.0.0.1
metrics-agent-044.apexledger.example,A,10.8.148.178,300,10.0.0.1
srv-app-283.apexledger.example,A,10.14.172.179,300,1.0.0.1
portal-web-763.apexledger.example,A,10.10.214.24,300,10.0.0.1
kafka-broker-123.apexledger.example,A,10.1.66.64,1800,10.0.0.1
billing-srv-972.apexledger.example,A,10.7.135.158,86400,1.0.0.1
service-696.apexledger.example,A,10.9.87.145,1800,1.0.0.1
kafka-broker-471.apexledger.example,A,10.2.65.69,1800,1.0.0.1
service-184.apexledger.example,A,10.12.47.159,1800,1.0.0.1
service-757.apexledger.example,A,10.0.35.15,300,10.0.0.1
srv-app-642.apexledger.example,A,10.10.67.5,300,1.0.0.1
srv-app-788.apexledger.example,A,10.0.55.114,300,1.1.1.1
