timestamp,firewall_id,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received
2026-08-15T14:30:53Z,FW-CORE-01,10.0.5.49,10.0.0.7,49712,53,UDP,ALLOW,75,106
2026-08-15T14:32:11Z,FW-CORE-01,10.0.5.44,10.0.0.10,59149,53,UDP,ALLOW,74,177
2026-08-15T14:32:33Z,FW-CORE-01,10.0.5.9,10.0.0.5,57684,53,UDP,ALLOW,70,89
2026-08-15T14:32:55Z,FW-CORE-01,10.0.5.31,10.0.0.9,55461,53,UDP,ALLOW,144,97
2026-08-15T14:33:09Z,FW-CORE-01,10.0.5.5,10.0.0.4,53487,53,UDP,ALLOW,64,90
2026-08-15T14:33:46Z,FW-CORE-01,10.0.5.60,10.0.0.5,54884,53,UDP,ALLOW,76,160
2026-08-15T14:33:58Z,FW-CORE-01,10.0.5.57,10.0.0.2,62154,53,UDP,ALLOW,128,130
2026-08-15T14:34:28Z,FW-CORE-01,10.0.5.82,10.0.0.10,62712,53,UDP,ALLOW,113,109
2026-08-15T14:34:29Z,FW-CORE-01,10.0.5.2,10.0.0.9,49692,53,UDP,ALLOW,139,159
2026-08-15T14:34:56Z,FW-CORE-01,10.0.5.54,10.0.0.6,62506,53,UDP,ALLOW,89,198
2026-08-15T14:35:07Z,FW-CORE-01,10.0.5.78,10.0.0.10,63996,53,UDP,ALLOW,100,134
2026-08-15T14:35:18Z,FW-CORE-01,10.0.5.73,10.0.0.3,54691,53,UDP,ALLOW,139,152
2026-08-15T14:36:02Z,FW-CORE-01,10.0.5.99,10.0.0.7,51802,53,UDP,ALLOW,71,82
2026-08-15T14:36:02Z,FW-CORE-01,10.0.5.18,10.0.0.10,59152,53,UDP,ALLOW,134,163
2026-08-15T14:36:07Z,FW-CORE-01,10.0.5.28,10.0.0.10,55379,53,UDP,ALLOW,100,81
2026-08-15T14:37:08Z,FW-CORE-01,10.0.5.74,10.0.0.5,53948,53,UDP,ALLOW,116,127
2026-08-15T14:38:05Z,FW-CORE-01,10.0.5.26,10.0.0.4,61884,53,UDP,ALLOW,137,117
2026-08-15T14:38:19Z,FW-CORE-01,10.0.5.66,10.0.0.8,55414,53,UDP,ALLOW,147,164
2026-08-15T14:38:30Z,FW-CORE-01,10.0.5.18,10.0.0.2,51831,53,UDP,ALLOW,91,172
2026-08-15T14:38:33Z,FW-CORE-01,10.0.5.98,10.0.0.2,62138,53,UDP,ALLOW,101,179
2026-08-15T14:38:38Z,FW-CORE-01,10.0.5.27,10.0.0.5,54777,53,UDP,ALLOW,90,156
2026-08-15T14:38:38Z,FW-CORE-01,10.0.5.90,10.0.0.8,51471,53,UDP,ALLOW,72,164
2026-08-15T14:39:23Z,FW-CORE-01,10.0.5.73,10.0.0.8,61609,53,UDP,ALLOW,99,193
2026-08-15T14:39:44Z,FW-CORE-01,10.0.5.89,10.0.0.3,51573,53,UDP,ALLOW,103,91
2026-08-15T14:40:03Z,FW-CORE-01,10.0.5.97,10.0.0.8,58767,53,UDP,ALLOW,149,179
2026-08-15T14:40:19Z,FW-CORE-01,10.0.5.87,10.0.0.6,62680,53,UDP,ALLOW,102,157
2026-08-15T14:40:35Z,FW-CORE-01,10.0.5.20,10.0.0.5,62762,53,UDP,ALLOW,107,198
2026-08-15T14:40:41Z,FW-CORE-01,10.0.5.78,10.0.0.9,54111,53,UDP,ALLOW,115,154
