seq,timestamp_local,event,actor,source_ip,artifact,severity,notes
1,2026-08-14 01:12:44,Operator session opened,h.granger,10.20.4.19,auth.log,info,Public key authentication from Auror terminal
2,2026-08-14 01:26:18,Brute force burst (5),UNKNOWN,192.168.1.42,auth.log,warn,Target account "oracle" does not exist
3,2026-08-14 01:34:52,Brute force burst (3),UNKNOWN,192.168.1.42,auth.log,warn,Target account "archive" does not exist
4,2026-08-14 01:38:19,Brute force burst (3),UNKNOWN,192.168.1.42,auth.log,warn,Target account "root"
5,2026-08-14 01:42:44,AppArmor denial,pensieve-index,127.0.0.1,workstation.log,error,exec /usr/bin/timeout denied
6,2026-08-14 01:43:02,Password authentication accepted,a.prewett,192.168.1.42,auth.log,warn,Archivist-III from non-standard source
7,2026-08-14 01:43:19,Privilege escalation,a.prewett,192.168.1.42,auth.log,warn,sudo to root
8,2026-08-14 01:43:47,Daemon terminated,a.prewett,192.168.1.42,workstation.log,critical,ward-daemon killed with SIGKILL
9,2026-08-14 01:44:03,Index manifest deleted,a.prewett,192.168.1.42,workstation.log,critical,/var/lib/pensieve/vault/.idx removed
10,2026-08-14 01:44:11,Log artefact deleted,a.prewett,192.168.1.42,workstation.log,critical,/var/log/ward/ward-daemon.log removed
11,2026-08-14 01:44:29,Capability granted,a.prewett,192.168.1.42,workstation.log,warn,cap_net_raw+ep on pensieve-index
12,2026-08-14 01:45:01,Archive created,svc.archive,192.168.1.42,workstation.log,warn,/tmp/idx_backup.tar.gz 38.9 MB
13,2026-08-14 01:47:04,Index rebuilt,svc.archive,192.168.1.42,workstation.log,warn,--force without operator ticket
14,2026-08-14 01:58:44,Daemon restart failed,systemd,127.0.0.1,workstation.log,error,Missing index manifest
15,2026-08-14 02:17:02,Staging move,a.prewett,192.168.1.42,workstation.log,warn,Archive moved to outbox
16,2026-08-14 02:18:09,Rotated log removed,a.prewett,192.168.1.42,auth.log,warn,auth.log.1 deleted
17,2026-08-14 02:18:44,Memory acquisition,a.prewett,192.168.1.42,workstation.log,critical,256 MB snapshot from /dev/mem
18,2026-08-14 02:21:11,Snapshot encrypted,a.prewett,192.168.1.42,workstation.log,warn,gpg recipient archive@ministry.gov.magic
19,2026-08-14 02:34:02,Investigator grep,m.edgecombe,10.20.4.77,auth.log,info,Search for 192.168.1.42 across /var/log
20,2026-08-14 02:51:33,Signature mismatch,h.granger,10.20.4.19,file_hashes.txt,error,3 signatures, 0 match manifest
21,2026-08-14 03:02:01,Exfiltration transfer,svc.archive,192.168.1.42,workstation.log,critical,scp to 192.168.1.88:/srv/ingest/
22,2026-08-14 03:07:31,Daemon failed permanently,systemd,127.0.0.1,workstation.log,error,Restart counter 4
23,2026-08-14 03:18:20,Integrity check failed,ward-daemon,127.0.0.1,metadata.json,critical,Expected 18841 records, found 0
